drink 16oz,sugar amount in g,caffeine in mg,sodium in mg
monster energy,54,160,370
red bull,51,151,190
mtn dew kickstart grape,20,90,170
rockstar original,63,160,70
bang blue razz,0,300,40
full throttle,58,160,160
vuka renew mango peach,44,160,0
